,high_ast
0,Lars2
1,Apoe
2,Gfap
3,mt-Cytb
4,Vim
5,Prdx6
6,Dbi
7,Cpe
8,Pea15a
9,Fth1
10,Ckb
11,Mt1
12,mt-Nd1
13,Clu
14,mt-Co1
15,Actb
16,Cnn3
17,Cst3
18,Gpm6b
19,Ntrk2
20,Eef1a1
21,Gja1
22,mt-Nd5
23,mt-Nd4
24,Sparc
25,Pla2g7
26,Scd2
27,Tmsb4x
28,Ctsb
29,Cd81
30,Tspan3
31,Slc1a3
32,Mlc1
33,mt-Nd2
34,Ednrb
35,Mt3
36,Tuba1a
37,Ccng1
38,Ywhae
39,Tmem47
40,Psap
41,Itm2b
42,Laptm4a
43,Lamp1
44,Prdx1
45,Serpine2
46,Hspa8
47,Gnai2
48,Igfbp5
49,Atp5b
50,Gpm6a
51,Timp2
52,Tspan7
53,Atp5a1
54,Ddx5
55,Zbtb20
56,Calm1
57,Nfia
58,Eef2
59,Aldoc
60,Sparcl1
61,Eif4g2
62,Itm2c
63,Fads2
64,Skp1
65,Hsp90ab1
66,Qki
67,Lyz2
68,Fabp7
69,Ugp2
70,Canx
71,Glud1
72,A2m
73,Lamp2
74,Ctsd
75,Ppp2ca
76,Rab31
77,Atp1b2
78,Ptn
79,Hnrnpa2b1
80,Ephx1
81,Aldoa
82,Ccnd2
83,Fhl1
84,Rcn2
85,Ddah1
86,Cdc42
87,Ldhb
88,Ctsl
89,Ndfip1
90,Plpp3
91,Nedd4
92,Ghitm
93,Pygb
94,Rpl4
95,Slc25a4
96,Asrgl1
97,Abhd4
98,Sox9
99,Ndrg2
100,Atp1a2
101,Slc25a3
102,Mtpn
103,Itgb1
104,Hnrnpk
105,Gdi2
106,Oat
107,Gstm1
108,Aplp2
109,Marcks
110,Cd63
111,Dhrs1
112,Cfl1
113,Vdac1
114,Prkar1a
115,Aqp4
116,Slc25a5
117,Prnp
118,Nfix
119,Hspa5
120,Capza2
121,Dazap2
122,B2m
123,Serinc1
124,Maged1
125,Tmem59
126,Plekhb1
127,Syt11
128,Myo10
129,Nckap1
130,Selenof
131,Nfe2l2
132,Rtn1
133,Spacdr
134,Anxa5
135,Macf1
136,Fads1
137,Sfxn5
138,Septin7
139,H3f3b
140,Rps2
141,Atp1b1
142,Dstn
143,Rtn3
144,Gpr37l1
145,Cdh2
146,Ecrg4
147,Anxa2
148,Hacd3
149,Tmbim6
150,Ptprs
151,S1pr3
152,Sdcbp
153,Tcf4
154,Gnb1
155,Sdc2
156,Hmgcs1
157,Dag1
158,Igfbp2
159,Rac1
160,Eif4a2
161,Sh3bgrl
162,Id4
163,Rps4x
164,Snx3
165,Hnrnpu
166,Ssr3
167,Rpl3
168,Arf4
169,P4hb
170,Sox2
171,Rplp1
172,Tpt1
173,Ckap5
174,Mat2a
175,Abca1
176,Rplp0
177,Eif5
178,Add3
179,Ttyh1
180,Pfn2
181,Rab10
182,Fermt2
183,Reep5
184,Sdc4
185,Pkm
186,Cox4i1
187,Serinc3
188,Sdha
189,Rpl7
190,Gapdh
191,Ddr1
192,Atxn10
193,Cox8a
194,Hspa9
195,Ywhaz
196,Eif1
197,Bsg
198,Atp1a1
199,Msn
200,Tm9sf3
201,Rps3
202,Cnbp
203,Rab6a
204,Acsbg1
205,Ccn1
206,Ldha
207,Fez1
208,Tmem30a
209,Atp5pb
210,Tsc22d1
211,Hsbp1
212,Ybx1
213,Akr1a1
214,Rab14
215,Cryab
216,Hsp90aa1
217,Acadm
218,Mlf2
219,Vcam1
220,Pdia3
221,Lgals1
222,Mdh1
223,Arl6ip1
224,Arl8a
225,Abcd3
226,Fat1
227,Hspb8
228,Atp5g3
229,Prdx2
230,Mmd2
231,Ak3
232,Tax1bp1
233,Rbm39
234,Tmed7
235,Id2
236,Atp5c1
237,Vps35
238,Sox4
239,Fstl1
240,Gpx1
241,Actg1
242,Mapre1
243,Arpc2
244,Rbbp7
245,Ncl
246,Zfp706
247,Rps14
248,Nek6
249,Ubb
250,Ube2d3
251,Cs
252,Ppp2r1a
253,Eif5a
254,Cyb5b
255,Arhgap5
256,Rnf13
257,Hsp90b1
258,Ppia
259,Idh2
260,Nudt4
261,Cd9
262,Slc3a2
263,Rab18
264,mt-Nd6
265,Hmgn1
266,Rab2a
267,Rbbp4
268,Uqcrfs1
269,Pdia4
270,Cyb5r3
271,Csnk1a1
272,Elovl5
273,Cbx5
274,Psat1
275,App
276,Chst2
277,Ptpra
278,Pebp1
279,Caprin1
280,Ptprz1
281,Lxn
282,Txnrd1
283,Csdc2
284,Cd164
285,Ctnna1
286,Hepacam
287,Rhoa
288,Sptbn1
289,Capzb
290,Tpm1
291,Rtn4
292,Rab7
293,9530068E07Rik
294,Acox1
295,Spcs2
296,Sirt2
297,Serp1
298,Bzw1
299,Slc39a12
300,Igfbp3
301,Map1lc3b
302,Srrm2
303,Saraf
304,Golph3
305,Cav2
306,Mdh2
307,Idh3a
308,Tubb5
309,Pabpc1
310,Ywhab
311,Oxct1
312,Paip2
313,Gmfb
314,Ppp1cb
315,Grina
316,Gpc4
317,Crip2
318,Wdr1
319,Paics
320,Ahcyl1
321,Fkbp1a
322,Rps9
323,Rpl8
324,Agpat3
325,Rps5
326,Gsn
327,Selenow
328,Hspa4
329,Hdgf
330,H2-D1
331,Ddit4l
332,Cald1
333,Nfib
334,Serbp1
335,Atp6v1a
336,Cox6a1
337,H2-K1
338,Hibadh
339,Sec62
340,Dnaja1
341,Rps3a1
342,Dner
343,Strap
344,1810037I17Rik
345,Eno1
346,Tubb2a
347,Jam2
348,F3
349,Ndufa4
350,Snx5
351,Kif1b
352,Gabarap
353,4833439L19Rik
354,Calm2
355,Nisch
356,Ccn2
357,Atp5h
358,Suclg1
359,Atp5d
360,Rack1
361,Cox6c
362,Aldh6a1
363,Sh3glb1
364,Vps41
365,Cct8
366,Id3
367,Dars
368,Calu
369,Adk
370,Csde1
371,Rap1b
372,Gm2a
373,Ubl3
374,Arl3
375,Slc16a1
376,Atp5j
377,Ezr
378,Metap2
379,Arf1
380,Epdr1
381,Pbxip1
382,Wwc1
383,Rab5a
384,Dnaja2
385,St13
386,Nptn
387,Rbx1
388,Ank
389,Scg3
390,Mff
391,Morf4l2
392,Mtss2
393,Tcp11l2
394,Degs1
395,Cfl2
396,Ptp4a2
397,Npm1
398,Slc1a2
399,Phgdh
400,Poldip2
401,Syap1
402,Hnrnpc
403,Rheb
404,Cox6b1
405,Gpi1
406,Cyfip1
407,Sf3b1
408,Calm3
409,Sar1a
410,Dld
411,Cacybp
412,Vapa
413,Cct6a
414,Prdx5
415,Hspa4l
416,Mrfap1
417,Tpm3
418,Srebf1
419,Etfa
420,Tubb4b
421,Ptma
422,Pdp1
423,Mfge8
424,Cdc42se2
425,Mark3
426,Tmem176b
427,Rpl14
428,Dtna
429,Tjp1
430,Lrrc58
431,Uqcrc2
432,Slc38a1
433,Zfp36l1
434,Gng12
435,Map1b
436,Ttc3
437,Wls
438,Zwint
439,Amfr
440,Rsrp1
441,Acsl3
442,Ifitm3
443,Cct4
444,Azin1
445,Itfg1
446,Wsb1
447,Pdha1
448,Ftl1
449,Nacc2
450,Lgmn
451,Sdf4
452,Uqcrc1
453,Tubb2b
454,Ppp2r5a
455,Sptssa
456,Eif4h
457,Zfp207
458,Dync1i2
459,Cspg5
460,Dynlt3
461,Asah1
462,Ahnak
463,Snx4
464,Arhgap12
465,Pnisr
466,Ppt1
467,Tm9sf2
468,Olig1
469,Snap47
470,Cct3
471,Hnrnpdl
472,Rpl9
473,Psmd1
474,Pfn1
475,Srsf5
476,Tnrc18
477,Pfkp
478,Vcp
479,Sptan1
480,Selenok
481,Mgat5
482,Ei24
483,Plcd4
484,Crot
485,Eif3c
486,Atrx
487,Sgpl1
488,Oaz1
489,Echs1
490,Hsd17b4
491,Slc38a3
492,Igdcc4
493,Atad1
494,Add1
495,Hmgn3
496,Myl6
497,Sub1
498,Acadsb
499,Mapk1
500,Med25
501,Stox2
502,Ociad1
503,Scp2
504,Nrxn1
505,Arhgdia
506,Fgfr1
507,Gnai3
508,Pnrc2
509,Pttg1ip
510,Rpl22
511,Kif5b
512,Pon2
513,Rpl32
514,Rps24
515,Marcksl1
516,Atp6v0e2
517,Tpi1
518,Ogn
519,Clstn1
520,Ap2m1
521,Tprkb
522,Junb
523,Sox21
524,Btbd1
525,Emp2
526,Ddb1
527,Son
528,Psmb1
529,Metrn
530,S1pr1
531,Septin9
532,Sdhb
533,Sulf2
534,Eif3f
535,Calr
536,Clptm1
537,Rida
538,Chpt1
539,Tecr
540,Tcf25
541,Tpm4
542,Atxn7l3b
543,Camk2d
544,Rab1a
545,Serpinh1
546,Matr3
547,Rpn2
548,Gpx4
549,Arcn1
550,Rnd3
551,Pgrmc1
552,Ctbp1
553,Cct5
554,Pitpna
555,Pals2
556,Pdia6
557,Vdac2
558,Ndufs1
559,Nrep
560,Ndufc2
561,Xpr1
562,Polr2m
563,Pink1
564,Mrps6
565,Ndufv2
566,Rps8
567,Rps19
568,Zcchc24
569,Cfap36
570,Arglu1
571,Chmp5
572,Txn1
573,Mcl1
574,Pmm1
575,Ndufs2
576,Ctso
577,Psma2
578,Mtch2
579,Rcn1
580,Arl2bp
581,Pnpla8
582,Cct7
583,Slc48a1
584,Phlpp1
585,Tpp1
586,Gnb2
587,Mettl9
588,Rnf180
589,Sgcb
590,Odc1
591,Nadk2
592,Mgst1
593,Rps27a
594,Ssb
595,Sorbs1
596,Zranb2
597,Il6st
598,Adh5
599,Ccdc47
600,Cttn
601,Cav1
602,Zfand5
603,Uba1
604,Map4
605,Sesn3
606,Cd44
607,Sar1b
608,2810459M11Rik
609,Ube2b
610,Lin7c
611,Hspa2
612,Naaa
613,Gdi1
614,Txndc5
615,Ccni
616,Tkt
617,Cox7c
618,Arf3
619,Cct2
620,Idh3g
621,Ube2r2
622,Stat3
623,Prss23
624,Rdx
625,Gna13
626,Snx6
627,Sqle
628,Smpdl3a
629,Ank2
630,Rps21
631,Stt3b
632,Clk1
633,Rpl6
634,Mt2
635,Golm2
636,Notch2
637,Pcbp1
638,Actr3
639,Sorl1
640,Chtop
641,Npc2
642,Ube2l3
643,Aco2
644,Serpina3n
645,Tmed10
646,Gclm
647,Tmem65
648,Rps15a
649,Puf60
650,Rsu1
651,Arpc5
652,Cotl1
653,Trpc4ap
654,Ssr1
655,Pcmt1
656,Cand1
